game_name,appid,status,reviews_fetched
Counter-Strike 2,730.0,success,50.0
PUBG: BATTLEGROUNDS,578080.0,success,50.0
Dota 2,570.0,success,50.0
Apex Legends,,not_found,
Delta Force,2507950.0,success,50.0
Bongo Cat,3419430.0,success,50.0
Rust,252490.0,success,50.0
Stardew Valley,413150.0,success,50.0
Marvel Rivals,2767030.0,success,49.0
Grand Theft Auto V Legacy,,not_found,
Tom Clancy’s Rainbow Six Siege,,not_found,
War Thunder,236390.0,success,50.0
Warframe,230410.0,success,50.0
Overwatch,,not_found,
Geometry Dash,322170.0,success,50.0
NARAKA: BLADEPOINT,1203220.0,success,50.0
DayZ,221100.0,success,50.0
Team Fortress 2,440.0,success,50.0
Dead by Daylight,381210.0,success,50.0
VRChat,438100.0,success,50.0
Don’t Starve Together,,not_found,
Baldur’s Gate 3,,not_found,
Euro Truck Simulator 2,227300.0,success,50.0
Battlefield™ 6,2807960.0,success,50.0
Limbus Company,1973530.0,success,50.0
Crosshair X,,not_found,
Hearts of Iron IV,394360.0,success,50.0
HELLDIVERS™ 2,553850.0,success,50.0
ELDEN RING,1245620.0,success,50.0
Call of Duty®,1938090.0,success,49.0
Red Dead Redemption 2,1174180.0,success,50.0
Sid Meier’s Civilization VI,,not_found,
Street Fighter™ 6,1364780.0,success,50.0
Cyberpunk 2077,1091500.0,success,50.0
R.E.P.O.,3241660.0,success,50.0
Terraria,105600.0,success,50.0
Project Zomboid,108600.0,success,50.0
RimWorld,294100.0,success,50.0
ARK: Survival Ascended,2399830.0,success,50.0
Mount & Blades II: Bannerlord,,not_found,
Monster Hunger: World,,not_found,
Rocket League,,not_found,
Hunt: Showdown 1896,594650.0,success,50.0
The Sims™ 4,1222670.0,success,50.0
World of Warships,552990.0,success,50.0
Garry’s Mod,,not_found,
Palworld,1623730.0,success,50.0
Valheim,892970.0,success,50.0
BeamNG.drive,284160.0,success,50.0
Satisfactory,526870.0,success,50.0
